session_id,count,groups,delta_ts,days
k7ov0g5jp9l66rio,106,101+,57 days 00:08:10,57
7z8pwz2kpnbjeihz,104,101+,57 days 00:00:28,57
lnosko96z4gl0dou,104,101+,0 days 00:17:20,0
0lc0motwzl6n5wzf,103,101+,0 days 00:17:52,0
vzo11gfu748mzae6,103,101+,0 days 00:11:41,0
fuzhyuv7wloth31e,103,101+,57 days 00:15:55,57
qgeh99kfb2uuqzn7,103,101+,57 days 00:10:59,57
cc0ay3z2drlrez4x,103,101+,0 days 00:15:56,0
vnczixsd56ybkx11,103,101+,57 days 00:13:12,57
5dgp74ohb4xfi4b8,103,101+,57 days 00:17:47,57
6vcv3vybkopmc4ud,103,101+,0 days 00:16:25,0
c05wkw3rlqvbprcc,103,101+,0 days 00:15:05,0
6tvw7chzggkf6rvs,103,101+,0 days 00:15:05,0
joter8qd5yfi618l,103,101+,57 days 00:15:41,57
epdp41e6rivovik9,103,101+,0 days 00:17:44,0
62cwb8tpiwxinumu,102,101+,57 days 00:03:19,57
94rqu3566ty0vczh,102,101+,0 days 00:12:27,0
z7xrtbwqfx7chrib,102,101+,0 days 00:13:43,0
lbke56dadywaz1qa,102,101+,57 days 00:07:34,57
2qqor6mzriwhw3ie,102,101+,57 days 00:09:32,57
6ze7g2eywkjbulwk,102,101+,0 days 00:11:00,0
jdyvtxquk80o0nro,102,101+,0 days 00:11:56,0
e2044fox97yygcr9,102,101+,0 days 00:13:27,0
85zap265it3jko0n,102,101+,57 days 00:12:11,57
mrffz8wgy48st1ic,102,101+,0 days 00:13:43,0
0dsou0yxstoger3p,102,101+,57 days 00:10:32,57
wwrsvbmf043afo0m,102,101+,57 days 00:14:07,57
2ifwyos60peg3h0v,102,101+,57 days 00:03:47,57
lia48lkr36ug5cu8,102,101+,57 days 00:05:00,57
4t23kpdqj0cc6iau,102,101+,57 days 00:07:31,57
lbsgj63lp57fzhs3,102,101+,0 days 00:12:48,0
7ohsu19ms66mpbb6,102,101+,0 days 00:12:24,0
ounnnav28dna1cqr,102,101+,57 days 00:01:33,57
bnb0j8pp31ymsomy,102,101+,57 days 00:12:26,57
ibpbjooy22y4v46l,102,101+,57 days 00:07:17,57
ezo1jja9ew7detht,102,101+,0 days 00:13:38,0
ywyloh2rkt0yklwr,102,101+,0 days 00:15:31,0
ai25qz4fr43ibj7i,102,101+,57 days 00:03:27,57
wp4a57yfl44bhcjw,102,101+,57 days 00:09:01,57
1mzb2wc4u86xltqe,102,101+,57 days 00:07:48,57
y3joahx0xva76bcz,102,101+,0 days 00:12:51,0
qpgoyp7x0wvqn6hg,102,101+,0 days 00:15:05,0
z8h8p10xh5aj0zxf,102,101+,57 days 00:03:25,57
axavsnjbcm795rjr,102,101+,57 days 00:02:22,57
gc1kq6avlth5g3cj,102,101+,57 days 00:09:51,57
wr51knayz5acjrym,102,101+,57 days 00:09:06,57
x4jto5k9fts71xdi,102,101+,57 days 00:02:04,57
7hhq0z32wudq2ht0,102,101+,0 days 00:12:56,0
e69cj8f3mkiwvq58,102,101+,57 days 00:06:57,57
l5li7iuls51phf7d,102,101+,57 days 00:13:14,57
8yy94nqb0wwdlgch,102,101+,0 days 00:15:02,0
qwfi9fne35hryats,102,101+,57 days 00:13:39,57
4utjivsiuzpjwf4h,102,101+,0 days 00:11:09,0
kt193wmia102eiy6,102,101+,0 days 00:13:51,0
52vywsbxy38lqhcm,102,101+,57 days 00:07:54,57
lci138raog7j5go3,102,101+,0 days 00:14:08,0
omq0upu48wxyutd4,102,101+,57 days 00:10:08,57
u9x3lv8kgo1biekl,102,101+,57 days 00:10:50,57
0iqg9rrvrpizk5a5,102,101+,57 days 00:11:08,57
qgxritronhil6bu4,102,101+,0 days 00:13:03,0
xreawiz430bukyvz,102,101+,57 days 00:07:16,57
8l2jjosd8jcmgqlr,102,101+,57 days 00:12:30,57
ia30fsi2xypwtm87,102,101+,0 days 00:14:03,0
7chncef1duzz23wo,102,101+,57 days 00:12:27,57
74c1m3lhwf2jb0ra,102,101+,57 days 00:01:07,57
d1klburhum3ekq2x,102,101+,57 days 00:06:39,57
zxf8rrcz7b3ipoff,102,101+,57 days 00:11:30,57
79qviy875azhs3yn,102,101+,0 days 00:10:57,0
a8hslzoss4xmvj03,102,101+,57 days 00:15:25,57
kzler6m4y1jqqfmu,102,101+,0 days 00:13:55,0
gkhrayrxopzgnkug,101,101+,0 days 00:11:01,0
0k2wgcg05icfa8eu,101,101+,57 days 00:09:39,57
21h5ytbyodsvp62j,101,101+,57 days 00:06:58,57
2uwh0qb8czj0jx0j,101,101+,0 days 00:10:52,0
2f4nu39z7bwp7l4u,101,101+,57 days 00:18:28,57
jv06av02988gjdof,101,101+,0 days 00:11:30,0
24l6bwi4897ddxok,101,101+,57 days 00:09:08,57
1ee7z01p36andycy,101,101+,57 days 00:02:51,57
kgeqj90y7fxwdp1d,101,101+,57 days 00:00:40,57
oacuvnrp4rj6mifj,101,101+,0 days 00:12:00,0
c2luraok0s64z6ta,101,101+,0 days 00:12:12,0
kchqaop4k0dcf3rd,101,101+,0 days 00:12:42,0
srouhq9msb6qvald,101,101+,57 days 00:11:24,57
f0sgk1ngkqabii7k,101,101+,57 days 00:03:08,57
xrmnvfxg48avr489,101,101+,0 days 00:10:59,0
hi07fn3ik3x8u379,101,101+,57 days 00:07:53,57
nlitigzg42sksfk5,101,101+,57 days 00:00:14,57
o2d0tjcydcky2e49,101,101+,0 days 00:11:26,0
8rbl6l1ehwv6yl6f,101,101+,57 days 00:09:26,57
fjwr112krygq86cz,101,101+,57 days 00:08:32,57
2l6yut6gnbyvrcmn,101,101+,57 days 00:06:04,57
sj142wt6j9953jx8,101,101+,57 days 00:11:53,57
ix4cyo61xc41ti4w,101,101+,0 days 00:10:40,0
jgbcr17f954gl8tl,101,101+,0 days 00:13:33,0
7rdlou6tavgi328t,101,101+,0 days 00:11:17,0
h1kbcqjozpvyr8n9,101,101+,0 days 00:13:17,0
9hud61l3pupskxuc,101,101+,0 days 00:11:45,0
n9qcisc0rrruyhy4,101,101+,57 days 00:08:37,57
rp0s2yn7duf9spt9,101,101+,0 days 00:11:18,0
7hdwxrp0mo4f64zq,101,101+,57 days 00:01:24,57
vwxfgyxnisph27av,101,101+,0 days 00:12:28,0
eirsfbgj7nkjzytx,101,101+,57 days 00:07:43,57
yx0thnpt645dviet,101,101+,0 days 00:14:02,0
ovv5iyvh05nur9yb,101,101+,0 days 00:12:28,0
fsn8dxhky43uraqy,101,101+,57 days 00:05:10,57
hh3tb9cw0tylxtno,101,101+,57 days 00:10:34,57
0am5krn19lo7obp1,101,101+,0 days 00:10:44,0
8qhjq0e3edok6ppq,101,101+,57 days 00:06:42,57
d6vn75ud1gqturi8,101,101+,0 days 00:11:14,0
55zezvt0o4rhf3c0,101,101+,0 days 00:11:57,0
pzu0jsdxcsg97qb3,101,101+,56 days 23:59:54,56
453tqs115xf5gabp,101,101+,0 days 00:12:35,0
pdnmak6ppkvolged,101,101+,0 days 00:11:42,0
moq3yp385aevw5g8,101,101+,0 days 00:11:43,0
0fyh297hu1ugqa6m,101,101+,57 days 00:09:24,57
0kxp6aqixx4nu6t0,101,101+,57 days 00:10:35,57
k3uvwdr6lf3g5bhz,101,101+,0 days 00:11:54,0
cvhp96i0tj7jhg2k,101,101+,0 days 00:13:37,0
deek9rrsgaph3dp1,101,101+,57 days 00:02:30,57
0i9s47m1eeo2ubg8,101,101+,0 days 00:12:35,0
pwj4tv8vclittv9r,101,101+,57 days 00:10:11,57
3ihpe02nozfduqi9,101,101+,0 days 00:12:55,0
znri956auoyikhcv,101,101+,0 days 00:10:40,0
e0kkyeudriyhgoin,101,101+,57 days 00:03:49,57
mk2yrs0fzs2a8tr5,101,101+,0 days 00:12:00,0
b12mf7zb87d72wfh,101,101+,57 days 00:02:50,57
jw6peza0f8grnr6e,101,101+,57 days 00:07:56,57
d8dmk4a01cfjb4v6,101,101+,57 days 00:01:32,57
bmghieiciiyms2ru,101,101+,57 days 00:11:00,57
74vzsuifcekz355k,101,101+,57 days 00:12:30,57
f9nlqj7woqef2vd6,101,101+,0 days 00:13:44,0
dk00yu9vjdfsdl4f,101,101+,57 days 00:02:47,57
3e8fcexru5xo80g7,101,101+,0 days 00:13:35,0
wjj8l74d44knjg8t,101,101+,0 days 00:11:07,0
b3jm2t3yaiktf05x,101,101+,57 days 00:03:47,57
h4vxpyha8eijbiv2,101,101+,0 days 00:11:41,0
ru1d0ynh81z87g1o,101,101+,0 days 00:11:38,0
jtn5kxh0arw8578t,101,101+,0 days 00:13:10,0
uosa56lp9luu2fm2,101,101+,0 days 00:11:51,0
nnk1fh5bcb9mhld8,101,101+,57 days 00:05:05,57
8ww206r1w02tfia8,101,101+,0 days 00:10:46,0
fdq23zmro373fhmr,101,101+,57 days 00:02:39,57
494rbqs810rjp3gd,101,101+,0 days 00:16:05,0
9j8491y83se7oayn,101,101+,57 days 00:05:40,57
qq5r9c0a1i0n2n5o,101,101+,57 days 00:02:47,57
8v5bxxio5pwrtejf,101,101+,57 days 00:05:55,57
938ko3715hlwcc52,101,101+,0 days 00:11:02,0
4ved92qxw13ua7gs,101,101+,0 days 00:12:49,0
l2no06laamxias47,101,101+,57 days 00:08:16,57
o27jgvui6jmx7047,101,101+,0 days 00:11:46,0
wpboleutj6wsa6vx,101,101+,57 days 00:12:40,57
unesue07yuv83wc8,101,101+,0 days 00:11:50,0
ut5sqdy7wjmsv1nc,101,101+,57 days 00:02:55,57
0j3oippw1fpnnwmz,101,101+,57 days 00:05:03,57
f5na3jo3kjp0fa0j,101,101+,0 days 00:12:54,0
hard27anso7o8its,101,101+,57 days 00:09:57,57
gqves472lu2gjo92,101,101+,0 days 00:11:35,0
3k85nyl6hjqvhefc,101,101+,0 days 00:11:14,0
qyifv3o218qfe98t,101,101+,57 days 00:01:48,57
5l38vq6675txk988,101,101+,0 days 00:11:48,0
bneylopop1z4du9s,101,101+,57 days 00:02:50,57
lvqf56tx1gazik2j,101,101+,57 days 00:09:54,57
9ssm1hiniqb074nu,101,101+,0 days 00:11:11,0
su2niibv6ubqcn5g,101,101+,0 days 00:11:23,0
gv69ozqjwpap3vom,101,101+,57 days 00:01:27,57
vacwu6g7sjsl5i41,101,101+,0 days 00:11:59,0
dhcocmt433qjb0c8,101,101+,0 days 00:15:24,0
ken4gvzmwnzobert,101,101+,0 days 00:10:51,0
bqffjdfx8068uytw,101,101+,57 days 00:01:53,57
opx8nq8twou17g0x,101,101+,0 days 00:12:29,0
guikbl5azedw5ttf,101,101+,0 days 00:11:50,0
0u9tjifkfosay37l,101,101+,0 days 00:11:46,0
npy49b4q5uxqjgit,101,101+,0 days 00:15:01,0
tecu76vjdmb5qp28,101,101+,0 days 00:11:33,0
vb4ctks3hfo1s06s,101,101+,0 days 00:13:21,0
2yy1vh22soeoyipy,101,101+,57 days 00:03:12,57
to87a860b7r24txy,101,101+,57 days 00:07:38,57
w98dcs90usk8tcr9,101,101+,0 days 00:12:01,0
it5123r7f7448dlj,101,101+,0 days 00:13:26,0
rzxd3d8f5ly68l7l,101,101+,57 days 00:04:37,57
9scz1svxq6ijh89k,101,101+,57 days 00:08:35,57
0bc5619xehmdz7sy,101,101+,57 days 00:03:48,57
v02rocgyse9si0dy,101,101+,57 days 00:04:00,57
dx7fl9m1yvoq5cqh,101,101+,0 days 00:13:36,0
klracvh0bmtxfkbg,101,101+,57 days 00:04:40,57
cwpq8y1abifxfpi7,101,101+,0 days 00:12:29,0
3bqoawo02e53vd48,101,101+,57 days 00:09:09,57
cieiao3iepygjkkg,101,101+,0 days 00:11:08,0
o07x5xu3xry5mfug,101,101+,57 days 00:09:33,57
bo9ev9hfvc4gn8xs,101,101+,0 days 00:11:03,0
9fcv9mtrop843l14,101,101+,0 days 00:11:25,0
64ho4eggxsru67gj,101,101+,57 days 00:10:37,57
8epye9kfkf21bq26,101,101+,57 days 00:07:22,57
1crb7qivkmmibjh4,101,101+,0 days 00:11:07,0
8ta0dpm9gv4w7mli,101,101+,0 days 00:11:27,0
a9m4uuhgf0ugqn8l,101,101+,0 days 00:12:08,0
o0b8apdp0376xtmd,101,101+,0 days 00:12:12,0
6zv4k7kyqe92ft7a,101,101+,0 days 00:12:14,0
vurjxm2bvdgv0mq7,101,101+,57 days 00:05:54,57
vlcp4a5ncerh2qfi,101,101+,57 days 00:00:36,57
9im5hi8rzzylf0ag,101,101+,57 days 00:10:38,57
c77u2b766wtwczwr,101,101+,0 days 00:11:47,0
u7jkrd7kwzaqlp6a,101,101+,57 days 00:06:59,57
nq03z7bx2k2bk1lb,101,101+,57 days 00:04:38,57
zr1mv450svfxundj,101,101+,0 days 00:18:01,0
9mm5pk9ixk7dd6nf,101,101+,57 days 00:09:43,57
a40ua3w2f49l0fy0,101,101+,57 days 00:11:35,57
n1c19k5uprxgiwzl,101,101+,57 days 00:01:57,57
zata4m5r8rkqxyy6,101,101+,0 days 00:13:32,0
d7c5p2bmfsevxip3,101,101+,57 days 00:09:01,57
zw28abme4bzpoeqi,101,101+,0 days 00:12:53,0
bypbiumkvxkdnaci,101,101+,57 days 00:02:31,57
copfhpbtc683j39t,101,101+,0 days 00:11:05,0
9gg7uwikdy04s1s7,101,101+,0 days 00:11:41,0
mglq6yu733ykz9ih,101,101+,0 days 00:10:53,0
03x10ai4sg38uuev,101,101+,57 days 00:12:54,57
tyg3p9od2t9eqd07,101,101+,57 days 00:11:55,57
fptlb8cmb717ricj,101,101+,57 days 00:09:25,57
v1iqce77ibcmj9zl,101,101+,57 days 00:02:53,57
3vtr9y8crlfl0n94,101,101+,57 days 00:04:57,57
ivy0jzrv7rie5ce7,101,101+,57 days 00:01:20,57
ozgz1pbfnbe2je1z,101,101+,0 days 00:11:46,0
qjhhmt2fdnk1ngko,101,101+,0 days 00:10:59,0
0agfggr7n8tw193z,101,101+,57 days 00:03:52,57
3rycgqxp724dk4hy,101,101+,57 days 00:08:50,57
lezghvk7pfwd5wyh,101,101+,0 days 00:11:16,0
qnx8b8cv99nneof9,101,101+,0 days 00:12:12,0
70q1s074mlzs1y4v,101,101+,57 days 00:05:04,57
rpuwsbaaak3vwesc,101,101+,57 days 00:00:42,57
jif0ov8lzekd5s6u,101,101+,0 days 00:11:30,0
ig97wl1n12ork2pw,101,101+,57 days 00:02:56,57
q82zc3hqibipfamy,101,101+,57 days 00:02:01,57
wzwcts22mmm6zci9,101,101+,0 days 00:13:28,0
oc9f82fqtm3bk2dy,101,101+,0 days 00:11:31,0
yltnlm3a0yciabgq,101,101+,57 days 00:17:53,57
le4kwo208u0xhbgl,101,101+,0 days 00:11:53,0
f3084cj7sgrfwfpc,101,101+,57 days 00:08:49,57
8usrkgpqdxmp3pz2,101,101+,0 days 00:12:45,0
iwykior0q0ftbrvl,101,101+,57 days 00:05:32,57
ufrel06t9dmqsikz,101,101+,0 days 00:11:00,0
24729qq86svgjwfz,101,101+,0 days 00:11:27,0
ubnhl1nomy0wrqxn,101,101+,0 days 00:10:40,0
bqu7khb3zii4ajma,101,101+,0 days 00:12:27,0
y3bcszn69knfj104,101,101+,0 days 00:13:39,0
8pj419m2zinfqzx6,101,101+,57 days 00:11:14,57
ykfccig4r5z9no6p,101,101+,0 days 00:11:21,0
6to4d8e1vheqrwqe,101,101+,0 days 00:10:50,0
c3zj9iwg6upm7nyo,101,101+,57 days 00:07:27,57
3pguqxastnno5dh8,101,101+,0 days 00:11:57,0
ln4ppj1m313msj53,101,101+,0 days 00:11:45,0
q0cgjp5hdy7sori0,101,101+,0 days 00:10:53,0
tevglkeisktur8pg,101,101+,0 days 00:13:15,0
4m7a2657ucqrcy0t,100,91-100,0 days 00:11:27,0
5yiete4hgo792evw,100,91-100,57 days 00:03:45,57
q8akwmkderbaisr3,100,91-100,57 days 00:01:16,57
cmfdxxqtue2blr15,100,91-100,57 days 00:03:38,57
m91ce0l6ijhm44yg,100,91-100,0 days 00:10:39,0
2hdrn1g0eoz8kd6f,100,91-100,0 days 00:11:51,0
781azsfb3xfremap,100,91-100,57 days 00:10:37,57
uspaxpai5zmbsdyv,100,91-100,57 days 00:00:49,57
8u9s544kf069aoaw,100,91-100,0 days 00:11:42,0
gxqdmf72o432ykhr,100,91-100,0 days 00:11:47,0
v8zd7j5md5acqeof,100,91-100,0 days 00:13:22,0
qse9643miri9z1ih,100,91-100,57 days 00:05:31,57
aeonttw3n0dmzq2y,100,91-100,57 days 00:13:06,57
sb3s5311v9luvs72,100,91-100,0 days 00:09:27,0
k2osrvnuyi0g9mjv,100,91-100,0 days 00:13:00,0
t61ss81n9sot2vcy,100,91-100,57 days 00:00:23,57
x92qoj7kpy4vxkgh,100,91-100,57 days 00:04:05,57
cc2q2krvsz4g0qt8,100,91-100,0 days 00:11:41,0
5hbpmfqxcj17uf2n,100,91-100,57 days 00:07:07,57
lh206psr7rakqpd3,100,91-100,0 days 00:13:12,0
